8801;Worker;2;ore;389
8802;Worker;2;block;390
8804;Worker;1;ore;892
8820;Worker;1;ore;908
8853;Worker;1;ore;941
8863;Worker;1;ore;951
8908;Worker;1;ore;996
8939;Worker;1;ore;1027
8939;Worker;1;block;1027
9048;Worker;0;ore;47
9048;Worker;0;block;47
9501;Worker;0;ore;43
9518;Worker;3;ore;13
9523;Worker;3;ore;18
9531;Worker;2;ore;47
9532;Worker;2;block;48
9552;Worker;0;ore;94
9552;Worker;0;block;94
9554;Worker;3;ore;49
9574;Worker;3;ore;69
9621;Worker;3;ore;116
9669;Worker;3;ore;164
9713;Worker;3;ore;208
9740;Worker;3;ore;235
9790;Worker;3;ore;285
9814;Worker;3;ore;309
9821;Worker;3;ore;316
9847;Worker;3;ore;342
9852;Worker;3;ore;347
9874;Worker;2;ore;20
9877;Worker;1;ore;35
9878;Worker;1;block;36
9884;Worker;2;ore;30
9885;Worker;3;ore;380
9911;Worker;1;ore;22
9912;Worker;1;block;22
9920;Worker;2;ore;66
9921;Worker;2;block;67
9926;Worker;0;ore;50
9927;Worker;0;block;51
9931;Worker;3;ore;426
9940;Worker;3;ore;435
9963;Worker;1;ore;40
9966;Worker;2;ore;12
9966;Worker;2;block;12
9972;Worker;3;ore;467
9982;Worker;3;ore;477
9990;Worker;2;ore;12
10004;Worker;0;ore;39
10005;Worker;1;ore;81
10005;Worker;0;block;40
10020;Worker;1;ore;97
10023;Worker;0;ore;7
10023;Worker;3;ore;518
10023;Worker;0;block;7
10025;Worker;2;ore;47
10031;Worker;1;ore;108
10035;Worker;1;ore;112
10039;Worker;1;ore;116
10042;Worker;0;ore;7
10054;Worker;2;ore;76
10076;Worker;3;ore;571
10079;Worker;1;ore;156
10090;Worker;0;ore;55
10091;Worker;0;block;56
10094;Worker;2;ore;116
10112;Worker;3;ore;607
10117;Worker;1;ore;194
10125;Worker;1;ore;202
10133;Worker;2;ore;155
10146;Worker;3;ore;641
10148;Worker;1;ore;225
10150;Worker;2;ore;172
10153;Worker;3;ore;648
10158;Worker;0;ore;45
10159;Worker;0;block;46
10191;Worker;3;ore;686
10193;Worker;3;ore;688
10195;Worker;2;ore;217
10197;Worker;1;ore;274
10198;Worker;1;ore;275
10204;Worker;3;ore;699
10209;Worker;0;ore;38
10213;Worker;0;ore;42
10220;Worker;3;ore;715
10235;Worker;2;ore;257
10239;Worker;2;ore;261
10241;Worker;1;ore;318
10244;Worker;2;ore;266
10245;Worker;2;block;267
10254;Worker;0;ore;83
10263;Worker;3;ore;758
10263;Worker;3;ore;758
10264;Worker;1;ore;341
10265;Worker;0;ore;94
10294;Worker;3;ore;789
10297;Worker;1;ore;374
10302;Worker;0;ore;131
10304;Worker;3;ore;799
10321;Worker;0;ore;150
10327;Worker;1;ore;404
